id,text,emotion_type,source
1,晚上从图书馆出来，路灯很亮但我还是觉得自己像一个人走在岛上,lonely,ai_generated
2,食堂里坐满了人，可我找不到一个能一起吃饭的人,lonely,ai_generated
3,宿舍很吵，我却突然觉得没有人真的知道我今天过得怎么样,lonely,ai_generated
4,操场上大家都三三两两地聊天，我绕了一圈又一个人回去了,lonely,ai_generated
5,下课后人群一下散开，我站在教学楼门口不知道该去找谁,lonely,ai_generated
6,手机亮了很多次，却没有一条是我真正想等的消息,lonely,ai_generated
7,今晚的校园很热闹，可我像是隔着一层玻璃看别人生活,lonely,ai_generated
8,一个人在自习室坐到闭馆，突然觉得连椅子挪动的声音都很远,lonely,ai_generated
9,大家都在说周末安排，我只是在旁边笑了一下,lonely,ai_generated
10,回宿舍的路上风有点冷，我忽然很想有人陪我走完这一段,lonely,ai_generated
11,群聊一直跳消息，可我一句也接不上,lonely,ai_generated
12,明明在同一个教室里，我却觉得自己和所有人都不在一个频道,lonely,ai_generated
13,晚上在湖边坐着，看见别人并肩走过，心里空了一块,lonely,ai_generated
14,我把今天的事想讲给谁听，翻了半天通讯录又放下了手机,lonely,ai_generated
15,宿舍灯熄了以后，我才发现自己一整天都没认真和谁说过话,lonely,ai_generated
16,从校门口回来时，人流很多，但我还是觉得自己被落在外面,lonely,ai_generated
17,今天拍了很多照片，却不知道该发给谁看,lonely,ai_generated
18,在咖啡馆坐了一下午，旁边每桌都有故事，只有我像路过的人,lonely,ai_generated
19,大家都在为小组作业讨论，我只觉得自己可有可无,lonely,ai_generated
20,走过宿舍楼下时听见笑声，突然很羡慕那种有人等的感觉,lonely,ai_generated
21,周五晚上大家都出门了，宿舍只剩我和没关紧的窗户,lonely,ai_generated
22,走在教学楼后面的小路上，我突然觉得没人会发现我今天很沉默,lonely,ai_generated
23,饭卡刷过的时候听见旁边一桌在笑，我却不知道该把椅子搬到哪里,lonely,ai_generated
24,社团活动结束后大家约着吃夜宵，我找了个借口先走了,lonely,ai_generated
25,我在操场边坐了很久，身边的人换了一批又一批,lonely,ai_generated
26,群里讨论得很热闹，我打好的字删了三次还是没发,lonely,ai_generated
27,明明只是普通的一天，我却特别想听到有人叫我的名字,lonely,ai_generated
28,宿舍门开开关关很多次，没有一次是有人来找我,lonely,ai_generated
29,我把伞借给了别人，回来的路上才发现自己也很想被照顾,lonely,ai_generated
30,在图书馆占了两个座位，另一个座位一直空到闭馆,lonely,ai_generated
31,大家都说大学很自由，可我有时候觉得自由得有点孤单,lonely,ai_generated
32,今天拍到很漂亮的晚霞，却没有一个自然想分享的人,lonely,ai_generated
33,下课铃响以后所有人都往不同方向走，我也不知道自己该去哪,lonely,ai_generated
34,我坐在食堂角落吃完饭，像完成了一件没人知道的小事,lonely,ai_generated
